card_no,drug_name,drug_company,drug_brand,nhs_number,available_cities,store_phone,user_email_address,user_name,user_spoken_language,user_gender,purchase_date
3532248391803646,topcare sleep aid,Topco Associates LLC,Liqufruta,3430965160,Castêlo,(940) 8849698,stommaseo0@fc2.com,Sherman Tommaseo,Catalan,M,2022-05-22
4026116797770985,Ciprofloxacin,Cardinal Health,Degree,8796623144,Kampánis,(278) 6836954,whazley1@xinhuanet.com,Wiley Hazley,Bosnian,F,2022-06-01
6761392540367866,V-Natal,Virtus Pharmaceuticals,Halls,5605091212,Chiang Mai,(381) 8936561,collenbuttel2@patch.com,Celina Ollenbuttel,Pashto,M,2021-11-10
5048374183489295,pre fense,Prefense LLC,Levothyroxine Sodium,5288432112,Rakai,(815) 2026496,acorns3@sun.com,Annamaria Corns,German,F,2022-01-26
5108753112045632,Oxycodone and Acetaminophen,Qualitest Pharmaceuticals,Piperacillin and Tazobactam,0665357788,Ševica,(102) 6856772,hbysshe4@weather.com,Hermann Bysshe,Hiri Motu,M,2022-06-20
3571405916105962,LORTUSS,Poly Pharmaceuticals,Multivitamin with Fluoride,0485988097,Abengourou,(572) 3665387,rperillo5@goodreads.com,Rhona Perillo,Catalan,M,2022-05-27
490373996120202867,citroma,"Geiss, Destin & Dunn, Inc.",fondaparinux sodium,1126265810,Luleå,(174) 5325269,bcrumpton6@walmart.com,Boris Crumpton,Thai,F,2022-05-10
5523101752818487,dg baby vitamins a and d,Dolgencorp Inc,Chloroquine Phosphate,2938490909,Velas,(588) 9768724,lmurrock7@sourceforge.net,Lydia Murrock,Papiamento,F,2022-05-27
3583299686610913,care one acid reducer and antacid,American Sales Company,BZK Plus Swabsticks,7559134688,Iberia,(763) 8110111,gmcilwaine8@theglobeandmail.com,Geoffrey McIlwaine,Amharic,F,2022-08-26
3571301846806011,Lunesta,St Marys Medical Park Pharmacy,Oral-B,9212679390,Bouça,(365) 4186030,cdeane9@aboutads.info,Cristal Deane,Azeri,F,2022-08-10
5002351010424962,Oraverse,"Septodont, Inc.","Food - Plant Source, Celery Apium graveolens",1819571319,Zakroczym,(248) 3718199,hfissendena@weather.com,Hermon Fissenden,Bosnian,F,2021-11-26
3552637821541922,Midazolam Hydrochloride,Cardinal Health,Restfully Sleep,6459964963,Bắc Ninh,(728) 8318228,gvarrenb@phoca.cz,Geno Varren,Hiri Motu,M,2022-03-29
3578443078952494,ATORVASTATIN CALCIUM,Lake Erie Medical DBA Quality Care Products LLC,Sinus Soothe,4346851452,Shiquan,(194) 2706805,larmingerc@prlog.org,Lynne Arminger,Azeri,M,2021-10-03
50383710482753148,Illusion Tinted Moisturizer Broad Spectrum Sand,"Kingdom Animalia, LLC DBA Hourglass Cosmetics",Ranitidine,3252451123,Sihe,(205) 1681953,mcaslind@odnoklassniki.ru,Madelaine Caslin,Telugu,F,2022-07-19
4405565742710838,SyResp,Syntrion GmbH,Ethosuximide,7128298568,Bijelo Polje,(374) 1604176,srydere@purevolume.com,Syman Ryder,Japanese,M,2022-02-26
4579812227790,Nu Skin Nu Colour,"NSE Products, Inc.",Antifungal Foot,0878163433,Campos Sales,(563) 1677988,rsauntf@google.co.uk,Rickey Saunt,Belarusian,M,2021-11-30
36779153132987,Winning Hands Foaming Antibacterial,"Betco Corporation, Ltd.",Cimetidine,1064601391,Kálamos,(658) 6476496,fperotg@washington.edu,Fredi Perot,Nepali,F,2022-07-02
4936685353725319,risperidone,Major Pharmaceuticals,Lyrica,0422805181,Heyou,(389) 9936435,fclaceyh@drupal.org,Felisha Clacey,Korean,F,2021-11-02
3567213158407690,Crinone,"Columbia Laboratories, Inc.",Bio Lymphomyosot,3546939131,Jonava,(203) 8147917,bsegrotti@last.fm,Brynna Segrott,Marathi,M,2022-03-28
374622279086739,DELFLEX,Fresenius Medical Care North America,Avon Care,0053729293,Marseille,(259) 1716133,rbithanyj@google.com.hk,Roley Bithany,Bislama,F,2022-05-02
3584059154864643,Fluorouracil,Pfizer Laboratories Div Pfizer Inc.,Famotidine,8074021335,El Carmen,(739) 7995143,cpetleyk@blogspot.com,Candra Petley,Kazakh,M,2021-11-16
63049606992247770,ReCreate Foundation,Tarte Inc,KONSYL Easy Mix Formula Psyllium Fiber,4940138836,Arteni,(283) 3052615,mtwycrossl@google.fr,Milena Twycross,Dutch,F,2021-09-21
201796219620390,LAMICTAL,GlaxoSmithKline LLC,Integrilin,7510080800,Onan Ganjang Satu,(966) 1519673,phardenm@amazon.com,Pauletta Harden,Kannada,M,2022-03-16
3580911095395661,Mucinex D,Dispensing Solutions Inc.,7030 Calcium Premium,8624964431,Songhu,(119) 7981288,aturbatn@symantec.com,Angus Turbat,Hebrew,F,2022-08-01
3530290748139649,flormar REBORN FOUNDATION SUNSCREEN BROAD SPECTRUM SPF 20 SF07 Nude Beige,Kosan Kozmetik Sanayi ve Ticaret A.S.,TMJ Ease,1188528432,Guadalupe,(693) 4200541,jdenmano@addtoany.com,Jodie Denman,Tamil,F,2022-03-20
378173427081665,Nite Time Cold and Flu Relief,Kroger Company,Mercaptopurine,6969352390,Lincheng,(401) 3648004,pmullisp@apple.com,Paloma Mullis,Belarusian,M,2021-12-18
6333916709243978457,Motion Sickness Relief,Care One (American Sales Company),HAWAIIAN Tropic,0046575782,Vysokogornyy,(671) 4473554,mfraneyq@businesswire.com,Mollie Franey,Chinese,F,2022-08-25
201665437008144,Oligo Bio Iodine,"BioActive Nutritional, Inc.",Cimetidine,0384852270,Palhoça,(304) 8838327,ztreacherr@hc360.com,Zorina Treacher,West Frisian,M,2021-12-15
4861144590897019,Cucumber and Lime Antibacterial Foaming Hand Wash,"SJ Creations, Inc.",Allopurinol,3200533625,Changning,(447) 8342052,emoroneys@biblegateway.com,Engelbert Moroney,Māori,M,2021-10-28
5048374003326396,Systemic Detox,Deseret Biologicals,Ranitidine,1229838759,Bayan Tuohai,(364) 5597726,adelgardillot@amazon.de,Arly Delgardillo,Malayalam,M,2022-02-10
3558212202971397,Ondansetron,Citron Pharma LLC,Detoxifier,6162235041,Sibagat,(864) 2298563,cthackerayu@google.ru,Cybil Thackeray,Māori,M,2021-11-05
5108755012945266,Methocarbamol,Direct RX,Baza Cleanse and Protect Odor Control,7772120532,Botou,(740) 4815470,dabbissv@dyndns.org,Dido Abbiss,Indonesian,F,2022-02-18
6771273875121614189,Methadone Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,Bioelements,8607094513,Putou,(645) 4328907,spalisterw@fema.gov,Sofia Palister,Telugu,F,2022-04-09
5002357784148521,SUNFLOWER SEED,"Allergy Laboratories, Inc.",Amlodipine Besylate,7518549344,Igarapava,(404) 8582671,pworsellx@howstuffworks.com,Pierrette Worsell,Danish,M,2022-04-21
6375978600572151,Lithium,Marco Pharma International LLC.,Acetaminophen,5621168747,Paipu,(682) 9357618,rpardoey@newsvine.com,Rip Pardoe,Swati,F,2022-07-21
30043795037724,Flurox,"OCuSOFT, Inc.",Cranberry Orange Antibacterial Foaming Hand Wash,7098860107,Santa Tecla,(603) 3938067,fperronez@newsvine.com,Fielding Perrone,Dzongkha,F,2021-09-29
3543712946493051,Enviroclenz,"Deseret Biologicals, Inc.",SHISEIDO BENEFIANCE NUTRIPERFECT DAY,2477887610,La Romana,(680) 1607788,hpearman10@miitbeian.gov.cn,Hazel Pearman,Georgian,M,2022-02-10
5020323512441065,leader ibuprofen,Cardinal Health,LIQUIDAMBAR STYRACIFLUA POLLEN,0021122172,Bassar,(579) 4776838,kneely11@stumbleupon.com,Kelcy Neely,Tok Pisin,M,2021-09-25
374288990641713,COLLINSONIA CANADENSIS,HOMEOLAB USA INC.,Proparacaine Hydrochloride,9554213409,Guadalupe,(652) 8378083,byitzovitz12@harvard.edu,Burch Yitzovitz,Azeri,F,2021-10-27
3565302216853763,Nystatin,"AvKARE, Inc.",Dicyclomine Hydrochloride,7899201551,Khovd,(882) 9082844,jreen13@marketwatch.com,Jenn Reen,Papiamento,M,2022-01-04
5563158654109333,Lunesta,A-S Medication Solutions LLC,Ranitidine Hydrochloride,8714741687,Längelmäki,(143) 7186542,rjeger14@dedecms.com,Ralph Jeger,Dzongkha,M,2022-07-16
3542085636873168,Ropinirole Hydrochloride,Heritage Pharmaceuticals Inc.,Povidone Iodine,4540027956,Jardoeira,(567) 4565043,swhitman15@phpbb.com,Sophey Whitman,Kyrgyz,M,2021-11-08
3563703916570726,Gabapentin,Keltman Pharmaceuticals Inc.,GMC Medical,8801673949,‘Izrā,(553) 3385338,lcrandon16@noaa.gov,Lexis Crandon,Finnish,F,2021-11-18
30208531049545,Neova DNA Damage Control - Everyday,"PhotoMedex, Inc.",Lysol,9499739815,Luyi,(305) 9959521,msplevin17@jugem.jp,Monah Splevin,Dari,F,2021-12-27
3548038456122822,KADIAN,Lake Erie Medical DBA Quality Care Products LLC,Ketorolac Tromethamine,2588399142,Verd,(745) 4054789,kmacbain18@yahoo.com,Katrinka MacBain,French,F,2021-12-28
3540316678308918,Blistex,Blistex Inc,Cough and Cold Relief HBP,4871745627,Klippan,(135) 5032990,tberanek19@house.gov,Terri Beranek,West Frisian,F,2022-01-25
3571521598314258,Penicillin V Potassium,Lake Erie Medical DBA Quality Care Products LLC,Treatment Set TS338910,2896694021,Ulanov,(249) 3421188,orussel1a@sciencedaily.com,Odie Russel,Somali,F,2022-05-16
5100179841882798,Synthroid,REMEDYREPACK INC.,Bactrim DS,4461362213,Guanyinsi,(689) 2553122,snorfolk1b@alibaba.com,Salaidh Norfolk,Quechua,F,2022-08-18
5401469034049917,Artistry Hydrating Foundation,Access Busines Group LLC,SAFEWAY,5576911687,Sintung Timur,(963) 4461684,mrisby1c@mysql.com,Moria Risby,Hiri Motu,F,2021-12-26
3566387884918971,Soft Care Neutra Germ Fragrance Free Antibacterial,"Diversey, Inc.",Midazolam Hydrochloride,9387103773,Miaogou,(921) 2752414,sjosefer1d@sciencedaily.com,Stinky Josefer,Dzongkha,M,2022-08-23
5602220623908469,Levophed,"Hospira, Inc.",OXYGEN,8616748954,Boulder,(303) 6672131,bhambers1e@intel.com,Blancha Hambers,West Frisian,M,2021-12-31
374622014407422,Ranitidine,Contract Pharmacy Services-PA,Candesartan Cilexetil-Hydrochlorothiazide,9732175338,Dededo Village,(570) 8097403,bblampey1f@webmd.com,Bradley Blampey,Persian,F,2022-01-24
3539315622010318,Alprazolam,Cardinal Health,Achromycin V,8089293263,Pochayiv,(422) 8747476,lvanin1g@eventbrite.com,Lanae Vanin,Pashto,F,2021-12-09
374622069018090,donepezil hydrochloride,Cadila Healthcare Limited,Ergocalciferol,3531551191,Lincuo,(129) 6898902,kakitt1h@angelfire.com,Ki Akitt,Azeri,M,2021-10-16
3583633103329949,HUMATROPE,Eli Lilly and Company,SHISEIDO SHEER AND PERFECT FOUNDATION,5812841985,Figueiró dos Vinhos,(485) 7224336,mtallboy1i@netvibes.com,Morgana Tallboy,Kashmiri,M,2021-11-15
3587649498298826,Hydrochlorothiazide,"Aphena Pharma Solutions - Tennessee, LLC",Oxcarbazepine,6700531942,Trzciana,(583) 9507428,aprene1j@wix.com,Anjanette Prene,German,M,2021-10-02
4936292854552704,Methylin,Golden State Medical Supply,EXTENDED PHENYTOIN SODIUM,4284909312,Sembabule,(853) 4338575,sbredes1k@gov.uk,Sebastian Bredes,Malay,M,2021-11-03
5443986664063603,HZ,Apotheca Company,JIDESHENG HEMORRHOID,2882450702,Nihaona,(490) 5054276,jhoundsom1l@delicious.com,Jessa Houndsom,Gagauz,F,2021-09-14
5602241505918392,Gabapentin,"Preferred Pharmaceuticals, Inc",Pain Relief,4287186990,Skerries,(593) 2225666,ethornber1m@pen.io,Ermentrude Thornber,Dutch,M,2021-12-18
3528019984733896,good sense ibuprofen,L. Perrigo Company,Healing,9142166381,Xinhua,(713) 7939070,sgooderick1n@feedburner.com,Shep Gooderick,Lithuanian,F,2021-10-04
3535783846499696,UV SUNSET Body And Family Sun,"TONYMOLY CO., LTD.",Cardene I.V.,1283942844,Bemposta,(216) 4749875,alegon1o@jiathis.com,Agnes Legon,Gagauz,M,2022-05-04
3589106971984495,Bupropion hydrochloride,"Dispensing Solutions, Inc.",Simvastatin,3150792037,Hadakewa,(969) 5576011,ethorneloe1p@blog.com,Earl Thorneloe,Polish,F,2022-02-09
36089602246457,HAMSOA YUYU DERMA119,"HAMSOA PHARMACEUTICAL CO., LTD.",EFFET PARFAIT,3538830029,Talitsa,(687) 9433714,mlangtry1q@google.co.uk,Myrta Langtry,Croatian,F,2022-04-15
3539618264163463,PureBac Foam Wash,"Deb USA, Inc.",Metronidazole,7267134726,Cocabamba,(243) 9813289,mdore1r@wufoo.com,Marcelo Dore,Moldovan,F,2022-03-10
3536540905298818,Western Water Hemp,"Nelco Laboratories, Inc.",Mandragora Arnica Special Order,2230276883,Pecoro,(793) 5136191,tlockey1s@prlog.org,Tessy Lockey,West Frisian,M,2022-05-22
3533170950986563,Gentle Laxative,"SAVE-A-LOT FOOD STORES, LTD.",NAPROXEN SODIUM,1690405392,San Antonio,(617) 6755137,ehornig1t@tinyurl.com,Elly Hornig,Romanian,M,2022-08-15
5610891995988493,Nifedical,Bryant Ranch Prepack,Phoma glomerata,1576671739,El Plan,(356) 1762772,cbenes1u@cpanel.net,Carver Benes,Dzongkha,M,2022-02-10
5490745414683926,Prednisone,Keltman Pharmaceuticals Inc.,Benztropine Mesylate,6189963374,Piltown,(489) 3460577,togelbe1v@nymag.com,Tonya Ogelbe,Kyrgyz,F,2022-02-25
56022157649389289,Prozac,Dista Products Company,Cepacol,0339697679,Beigou,(280) 4479168,ebeevers1w@tmall.com,Elsie Beevers,Macedonian,M,2021-12-25
5602237331089361432,RoC Retinol Correxion Deep Wrinkle Daily Moisturizer,"Johnson & Johnson Sante' Beaute', France",Levetiracetam,3130470204,Palena,(866) 6634370,jifill1x@w3.org,Jay Ifill,Chinese,M,2021-10-20
5610524884400524,Pramipexole Dihydrochloride,Carilion Materials Management,Benz O Sthetic,5551789276,Cuyotenango,(904) 9575666,uherreros1y@ovh.net,Urbano Herreros,Persian,F,2021-10-29
561062286353990360,Atenolol,McKesson Contract Packaging,HEADCHES PAINFUL MENSTRUATION,8672002288,Jalasenga,(443) 1473293,udrable1z@themeforest.net,Uriah Drable,Japanese,F,2021-09-08
30479909511560,TERCONAZOLE,"Actavis Pharma, Inc",Losortan Potassium,1259056988,Juyuan,(370) 4904803,rdono20@nsw.gov.au,Raquela Dono,Swahili,F,2021-09-27
3589860942911561,Cafe Mocha,Jafra Cosmetics International Inc,nifedipine,4424781291,Viļaka,(687) 4319692,istilldale21@tinyurl.com,Imojean Stilldale,Dhivehi,M,2022-03-04
4913593134354556,Sore Throat,Rugby,Cotton Linters,8439321406,Tabor,(344) 9004524,akarleman22@admin.ch,Ave Karleman,Swati,F,2021-11-27
3541371688584858,P32 Sodium Phosphate,AnazaoHealth Corporation,IPKN ARTISTS TOUCH BB 01 LIGHT,8472937011,Cintra,(976) 2829969,jcoucha23@plala.or.jp,Jodie Coucha,Armenian,F,2022-06-06
5113022237782849,Oxycodone Hydrochloride,Rhodes Pharmaceuticals L.P.,simply right night time,0136172660,Yonezawa,(736) 5430176,obirkbeck24@dedecms.com,Oswald Birkbeck,Lao,M,2022-01-07
3552090711693413,leader omeprazole,REMEDYREPACK INC.,Hydrocodone Bitartrate And Acetaminophen,0847662365,Lesnyye Polyany,(457) 4428777,mantunez25@myspace.com,Merle Antunez,Somali,F,2021-09-07
3561940990952782,Ibuprofen,State of Florida DOH Central Pharmacy,Alfuzosin Hydrochloride,7446193964,Fengqiao,(741) 1168386,nkitcatt26@soundcloud.com,Nettie Kitcatt,Malayalam,F,2021-11-03
201956045963550,Green Guard Maximum Non-Aspirin,Unifirst First Aid Corporation,Halls,0951763113,Iksan,(450) 3108907,nsuston27@icio.us,Nichole Suston,Belarusian,F,2022-08-09
675938479781681616,Lovastatin,Mylan Institutional Inc.,GENOTROPIN,0842942610,Göteborg,(599) 9745052,omcmillian28@tripod.com,Ora McMillian,Afrikaans,F,2022-08-25
